neighborhood_id,medianHHI
sun-valley,"$11,410"
west-colfax,"$23,546"
college-view-south-platte,"$29,144"
goldsmith,"$31,770"
westwood,"$34,280"
lincoln-park,"$34,688"
valverde,"$35,213"
northeast-park-hill,"$35,360"
globeville,"$35,389"
kennedy,"$35,465"
ruby-hill,"$35,918"
barnum,"$37,048"
villa-park,"$38,217"
cole,"$38,542"
jefferson-park,"$42,292"
elyria-swansea,"$43,585"
windsor,"$43,941"
east-colfax,"$44,088"
clayton,"$44,601"
capitol-hill,"$44,944"
mar-lee,"$46,005"
city-park-west,"$47,898"
montbello,"$48,393"
washington-virginia-vale,"$48,859"
chaffee-park,"$49,342"
athmar-park,"$49,839"
dia,"$50,375"
baker,"$50,580"
hampden,"$51,042"
overland,"$51,425"
university,"$52,195"
harvey-park-south,"$52,959"
virginia-village,"$53,134"
sunnyside,"$53,211"
speer,"$53,994"
harvey-park,"$54,371"
cbd,"$54,784"
north-capitol-hill,"$55,307"
barnum-west,"$55,738"
cheesman-park,"$57,085"
five-points,"$57,301"
bear-valley,"$59,186"
university-hills,"$59,441"
indian-creek,"$59,470"
city-park,"$59,550"
marston,"$60,592"
regis,"$61,250"
university-park,"$61,377"
hale,"$64,171"
skyland,"$66,023"
hampden-south,"$67,345"
gateway-green-valley-ranch,"$67,886"
southmoor-park,"$71,181"
rosedale,"$71,618"
whittier,"$71,989"
berkeley,"$72,288"
highland,"$73,217"
sloan-lake,"$73,542"
fort-logan,"$74,305"
congress-park,"$75,405"
lowry-field,"$76,390"
north-park-hill,"$79,949"
civic-center,"$83,929"
montclair,"$84,068"
auraria,"$85,521"
union-station,"$86,970"
west-highland,"$87,008"
washington-park-west,"$92,756"
cory-merrill,"$95,720"
platt-park,"$97,917"
south-park-hill,"$99,728"
cherry-creek,"$105,748"
washington-park,"$105,996"
wellshire,"$107,411"
Stapleton,"$120,029"
belcaro,"$135,396"
hilltop,"$138,145"
country-club,"$149,116"